Plant_Species_and_variety,Treatment,Pot_Number,Pod_number,Pod_weight_grams,Bean_number,Bean_weight_grams,Seed_head _total_weight_grams,Seedheads_number,Average_ Pod_weight_grams,Average_bean_weight_milligrams,Average_beans_per_pod_number,total_weight_of_all_grains_grams,100_grain_weight_grams,Number_of_Ears,Calculated_number_of_grains_per_ear,calculated_total_number_of_grains
Finger_Millet_KNE817,High_ozone_heated,4,,,,,41.39,11,,,,,,,,
Finger_Millet_KNE624,High_ozone_heated,1,,,,,15.21,4,,,,,,,,
Finger_Millet_KNE625,High_ozone_heated,3,,,,,5.26,1,,,,,,,,
Finger_Millet_KNE626,High_ozone_heated,4,,,,,36.23,7,,,,,,,,
Finger_Millet_Okhale,High_ozone_heated,2,,,,,78.43,14,,,,,,,,
Finger_Millet_Okhale,High_ozone_heated,3,,,,,63.34,9,,,,,,,,
Finger_Millet_Okhale,High_ozone_heated,4,,,,,47.97,9,,,,,,,,
Finger_Millet_P224,High_ozone_heated,1,,,,,25.98,6,,,,,,,,
Finger_Millet_P225,High_ozone_heated,2,,,,,9.47,2,,,,,,,,
Finger_Millet_P226,High_ozone_heated,4,,,,,23.61,4,,,,,,,,
Finger_Millet_U15,High_ozone_heated,1,,,,,47.33,9,,,,,,,,
Finger_Millet_U16,High_ozone_heated,2,,,,,46.48,9,,,,,,,,
Finger_Millet_U17,High_ozone_heated,3,,,,,42.9,11,,,,,,,,
Finger_Millet_U18,High_ozone_heated,4,,,,,49.2,8,,,,,,,,
Finger_Millet_GuluE,Low_ozone_heated,1,,,,,27.34,9,,,,,,,,
Finger_Millet_GuluE,Low_ozone_heated,2,,,,,1.38,1,,,,,,,,
Finger_Millet_GuluE,Low_ozone_heated,3,,,,,14.65,4,,,,,,,,
Finger_Millet_GuluE,Low_ozone_heated,4,,,,,11.37,6,,,,,,,,
Finger_Millet_KNE818,Low_ozone_heated,1,,,,,34.19,8,,,,,,,,
Finger_Millet_KNE819,Low_ozone_heated,2,,,,,31.16,7,,,,,,,,
